Author,Engineer
TimeStamp,6/12/2019  3:12 PM
Sample Clock Rate,1000.00

sample,Time,V1,V2,V3,V4,V5,V6,F1,F2,F3,F4,F5,F6,Fx,Fy,Fz,Mx,My,Mz,Vtac
0.000,0.000,2.532,2.563,2.554,2.546,2.540,2.531,0.245,-0.240,-0.030,-0.141,-0.242,0.345,0.251,0.040,-0.058,-0.034,-0.004,-0.002,0.007
1.000,0.001,2.532,2.562,2.554,2.546,2.539,2.532,0.158,-0.152,-0.030,-0.228,-0.155,0.080,0.106,0.023,-0.317,-0.019,-0.002,-0.016,0.006
2.000,0.002,2.532,2.562,2.554,2.546,2.540,2.531,0.158,0.024,-0.117,-0.141,-0.242,0.434,0.143,0.073,0.110,-0.069,0.001,0.029,0.007
3.000,0.003,2.531,2.562,2.554,2.546,2.540,2.531,0.332,-0.064,0.057,-0.141,-0.242,0.434,0.234,0.064,0.368,-0.025,-0.004,0.003,0.007
4.000,0.004,2.532,2.561,2.554,2.546,2.540,2.532,0.245,0.112,0.057,-0.228,-0.242,0.080,0.069,0.016,0.022,0.038,-0.002,-0.005,0.007
5.000,0.005,2.532,2.562,2.554,2.546,2.540,2.531,0.158,-0.152,-0.030,-0.141,-0.329,0.434,0.251,0.093,-0.057,-0.037,-0.004,0.018,0.008
6.000,0.006,2.532,2.562,2.554,2.547,2.540,2.532,0.070,0.024,0.057,-0.404,-0.242,0.080,0.041,0.131,-0.400,-0.018,0.000,-0.010,0.008
7.000,0.007,2.532,2.561,2.553,2.547,2.541,2.531,0.070,0.200,0.145,-0.316,-0.503,0.345,0.148,0.196,-0.057,0.030,-0.003,0.029,0.007
8.000,0.008,2.532,2.562,2.553,2.547,2.540,2.532,0.245,-0.064,0.232,-0.491,-0.242,0.169,0.135,0.176,-0.140,-0.013,-0.002,-0.035,0.006
9.000,0.009,2.532,2.561,2.553,2.547,2.539,2.531,0.158,0.112,0.145,-0.404,-0.155,0.257,0.045,0.185,0.114,-0.056,0.002,-0.010,0.007
10.000,0.010,2.532,2.562,2.553,2.546,2.540,2.531,0.245,-0.152,0.232,-0.228,-0.416,0.257,0.288,0.110,-0.055,0.064,-0.009,-0.012,0.007
11.000,0.011,2.532,2.561,2.553,2.546,2.539,2.531,0.158,0.112,0.232,-0.228,-0.155,0.257,0.090,0.156,0.369,-0.005,-0.001,-0.006,0.007
12.000,0.012,2.533,2.561,2.554,2.546,2.541,2.531,-0.017,0.112,0.057,-0.228,-0.503,0.257,0.147,0.146,-0.314,0.042,-0.003,0.034,0.007
13.000,0.013,2.532,2.561,2.553,2.546,2.540,2.532,0.158,0.112,0.145,-0.228,-0.242,0.169,0.087,0.099,0.111,0.024,-0.002,-0.001,0.007
14.000,0.014,2.533,2.561,2.553,2.546,2.540,2.532,-0.017,0.200,0.145,-0.053,-0.242,0.080,0.037,0.078,0.109,0.067,-0.002,0.020,0.008
15.000,0.015,2.532,2.561,2.553,2.546,2.540,2.532,0.070,0.112,0.232,-0.228,-0.242,0.169,0.086,0.155,0.113,0.031,-0.002,-0.001,0.008
16.000,0.016,2.533,2.561,2.553,2.546,2.540,2.533,-0.017,0.112,0.145,-0.228,-0.242,-0.185,-0.015,0.053,-0.404,0.090,-0.003,-0.009,0.008
17.000,0.017,2.533,2.561,2.553,2.546,2.539,2.532,-0.104,0.112,0.232,-0.141,-0.155,0.169,0.042,0.192,0.114,0.008,-0.001,0.009,0.007
18.000,0.018,2.533,2.562,2.552,2.547,2.539,2.532,-0.104,0.024,0.406,-0.491,-0.155,0.169,0.043,0.353,-0.135,-0.036,0.000,-0.025,0.007
19.000,0.019,2.533,2.561,2.553,2.545,2.539,2.532,-0.104,0.200,0.145,0.035,-0.155,0.080,0.008,0.085,0.194,0.053,-0.001,0.024,0.008
20.000,0.020,2.533,2.562,2.553,2.546,2.539,2.532,-0.017,0.024,0.145,-0.053,-0.155,0.080,0.072,0.081,0.025,0.037,-0.003,0.004,0.008
21.000,0.021,2.533,2.561,2.553,2.546,2.539,2.533,-0.192,0.112,0.319,-0.141,-0.155,-0.096,-0.012,0.168,-0.144,0.077,-0.003,-0.005,0.007
