Author,Engineer
TimeStamp,6/12/2019  2:54 PM
Sample Clock Rate,1000.00

sample,Time,V1,V2,V3,V4,V5,V6,F1,F2,F3,F4,F5,F6,Fx,Fy,Fz,Mx,My,Mz,Vtac
0.000,0.000,2.533,2.562,2.552,2.547,2.541,2.531,0.155,0.148,0.199,-0.318,-0.724,0.214,0.236,0.132,-0.318,0.136,-0.009,0.023,0.007
1.000,0.001,2.533,2.562,2.552,2.548,2.539,2.530,0.067,0.148,0.199,-0.494,-0.376,0.303,0.093,0.263,-0.143,-0.023,0.000,0.004,0.007
2.000,0.002,2.534,2.561,2.552,2.547,2.539,2.531,-0.107,0.324,0.111,-0.318,-0.376,0.214,-0.003,0.217,-0.148,0.008,0.002,0.035,0.007
3.000,0.003,2.533,2.562,2.552,2.547,2.539,2.530,0.155,0.148,0.286,-0.318,-0.376,0.303,0.153,0.203,0.197,0.036,-0.003,0.003,0.008
4.000,0.004,2.534,2.561,2.552,2.547,2.538,2.532,-0.107,0.236,0.286,-0.318,-0.115,-0.051,-0.083,0.202,-0.062,0.026,0.002,-0.010,0.008
5.000,0.005,2.534,2.562,2.552,2.547,2.539,2.531,-0.020,0.148,0.286,-0.318,-0.202,0.038,0.011,0.193,-0.061,0.034,-0.001,-0.011,0.008
6.000,0.006,2.533,2.562,2.552,2.547,2.539,2.531,0.067,0.148,0.286,-0.406,-0.202,0.126,0.029,0.217,0.025,0.004,-0.000,-0.016,0.007
7.000,0.007,2.534,2.561,2.551,2.547,2.538,2.531,-0.195,0.324,0.373,-0.231,-0.115,0.126,-0.064,0.284,0.282,0.013,0.002,0.010,0.007
8.000,0.008,2.534,2.563,2.552,2.547,2.539,2.530,-0.020,-0.115,0.199,-0.318,-0.202,0.303,0.145,0.245,-0.142,-0.053,-0.002,-0.007,0.006
9.000,0.009,2.534,2.561,2.551,2.547,2.538,2.531,-0.195,0.324,0.460,-0.231,0.059,0.038,-0.125,0.293,0.452,0.001,0.003,-0.010,0.008
10.000,0.010,2.534,2.562,2.552,2.546,2.539,2.531,-0.107,0.148,0.286,-0.143,-0.289,0.038,0.055,0.164,-0.062,0.085,-0.004,0.009,0.007
11.000,0.011,2.534,2.562,2.552,2.547,2.538,2.531,-0.195,0.148,0.286,-0.406,-0.028,0.126,-0.074,0.317,-0.057,-0.068,0.004,-0.010,0.006
12.000,0.012,2.534,2.561,2.552,2.546,2.538,2.531,-0.195,0.324,0.199,0.032,0.059,0.038,-0.124,0.133,0.446,0.009,0.003,0.020,0.007
13.000,0.013,2.534,2.562,2.552,2.545,2.538,2.531,-0.195,-0.027,0.111,0.120,-0.028,0.214,0.068,0.125,0.193,-0.018,-0.001,0.022,0.007
14.000,0.014,2.534,2.562,2.552,2.546,2.537,2.532,-0.195,0.060,0.111,-0.056,0.233,-0.051,-0.134,0.115,0.106,-0.060,0.005,-0.010,0.007
15.000,0.015,2.534,2.562,2.553,2.545,2.538,2.532,-0.020,0.148,0.024,0.120,-0.115,-0.051,-0.004,-0.044,0.100,0.075,-0.002,0.019,0.008
16.000,0.016,2.534,2.563,2.552,2.546,2.537,2.532,-0.107,-0.115,0.199,0.032,0.233,-0.051,-0.026,0.082,0.192,-0.025,0.000,-0.027,0.006
17.000,0.017,2.534,2.562,2.553,2.545,2.538,2.532,-0.282,0.060,-0.063,0.120,0.059,-0.139,-0.108,0.003,-0.241,0.005,0.002,0.019,0.006
18.000,0.018,2.534,2.562,2.553,2.545,2.538,2.532,-0.107,0.060,0.024,0.295,-0.028,-0.051,0.014,-0.065,0.185,0.076,-0.003,0.023,0.007
19.000,0.019,2.535,2.562,2.553,2.545,2.537,2.532,-0.369,-0.027,0.024,0.120,0.233,-0.139,-0.135,0.068,-0.152,-0.038,0.003,0.004,0.007
20.000,0.020,2.534,2.562,2.553,2.545,2.539,2.531,-0.020,0.060,0.024,0.295,-0.202,0.126,0.122,-0.051,0.272,0.090,-0.006,0.037,0.007
21.000,0.021,2.534,2.563,2.553,2.545,2.536,2.531,-0.107,-0.115,-0.063,0.207,0.407,0.126,-0.062,0.012,0.445,-0.123,0.005,-0.002,0.007
22.000,0.022,2.534,2.562,2.554,2.544,2.536,2.531,-0.195,0.060,-0.324,0.383,0.407,0.038,-0.172,-0.115,0.352,-0.114,0.008,0.034,0.007
23.000,0.023,2.533,2.563,2.553,2.545,2.538,2.531,0.067,-0.203,-0.150,0.295,0.059,0.038,0.099,-0.147,0.099,0.008,-0.003,0.007,0.007
24.000,0.024,2.534,2.563,2.553,2.545,2.537,2.532,-0.020,-0.115,-0.063,0.207,0.233,-0.227,-0.060,-0.134,0.013,0.015,-0.000,-0.016,0.007
25.000,0.025,2.533,2.563,2.553,2.545,2.538,2.531,0.067,-0.115,-0.150,0.295,-0.115,0.038,0.125,-0.156,0.013,0.059,-0.005,0.022,0.007
26.000,0.026,2.533,2.563,2.553,2.546,2.537,2.531,0.067,-0.115,0.024,0.032,0.233,0.038,-0.007,-0.003,0.275,-0.059,0.002,-0.022,0.006
27.000,0.027,2.534,2.562,2.554,2.545,2.538,2.531,-0.020,-0.027,-0.237,0.295,-0.028,0.038,0.034,-0.146,0.012,0.015,-0.001,0.033,0.007
28.000,0.028,2.533,2.563,2.553,2.545,2.537,2.531,0.067,-0.203,-0.150,0.120,0.146,0.038,0.040,-0.087,0.016,-0.051,0.000,-0.007,0.007
29.000,0.029,2.534,2.562,2.553,2.545,2.537,2.532,-0.020,-0.027,-0.063,0.120,0.146,-0.139,-0.060,-0.083,0.014,0.004,0.001,-0.006,0.008
30.000,0.030,2.533,2.563,2.553,2.545,2.539,2.531,0.155,-0.203,-0.150,0.295,-0.376,0.126,0.277,-0.174,-0.156,0.114,-0.010,0.031,0.008
31.000,0.031,2.533,2.563,2.553,2.545,2.537,2.531,0.155,-0.203,-0.063,0.120,0.146,0.038,0.069,-0.092,0.187,-0.027,-0.001,-0.017,0.006
32.000,0.032,2.533,2.562,2.554,2.546,2.538,2.531,0.067,0.060,-0.324,0.032,-0.028,0.038,-0.042,-0.119,-0.159,-0.042,0.004,0.025,0.006
33.000,0.033,2.533,2.563,2.553,2.546,2.538,2.531,0.242,-0.115,-0.150,-0.056,-0.028,0.214,0.101,-0.048,0.103,-0.061,0.000,-0.002,0.009
34.000,0.034,2.534,2.563,2.554,2.547,2.537,2.531,-0.020,-0.115,-0.237,-0.231,0.146,0.038,-0.082,0.028,-0.408,-0.143,0.007,-0.010,0.008
35.000,0.035,2.533,2.563,2.554,2.545,2.539,2.531,0.242,-0.203,-0.324,0.120,-0.289,0.214,0.221,-0.170,-0.242,0.012,-0.005,0.027,0.008
36.000,0.036,2.533,2.563,2.553,2.546,2.538,2.530,0.242,-0.203,-0.150,-0.143,-0.028,0.303,0.136,0.005,0.020,-0.103,0.001,-0.007,0.007
37.000,0.037,2.533,2.562,2.553,2.546,2.538,2.531,0.067,0.060,-0.150,-0.143,-0.115,0.214,0.022,0.036,-0.067,-0.065,0.003,0.019,0.007
38.000,0.038,2.532,2.563,2.554,2.545,2.539,2.531,0.417,-0.115,-0.237,0.120,-0.202,0.214,0.205,-0.199,0.183,0.024,-0.005,0.012,0.007
39.000,0.039,2.534,2.562,2.553,2.546,2.538,2.532,-0.020,0.060,-0.150,-0.143,-0.028,-0.051,-0.076,-0.009,-0.326,-0.035,0.004,0.005,0.008
40.000,0.040,2.532,2.562,2.553,2.545,2.539,2.531,0.329,0.060,-0.150,0.120,-0.289,0.126,0.152,-0.173,0.182,0.081,-0.005,0.023,0.007
41.000,0.041,2.533,2.563,2.553,2.546,2.538,2.531,0.242,-0.115,-0.063,-0.143,0.059,0.126,0.054,-0.017,0.104,-0.067,0.001,-0.021,0.006
42.000,0.042,2.533,2.562,2.554,2.546,2.538,2.531,0.155,0.060,-0.324,-0.056,-0.115,0.126,0.005,-0.100,-0.158,-0.049,0.003,0.024,0.007
43.000,0.043,2.533,2.563,2.553,2.547,2.538,2.531,0.067,-0.203,-0.150,-0.406,-0.115,0.126,0.054,0.090,-0.660,-0.108,0.003,-0.016,0.008
44.000,0.044,2.533,2.562,2.553,2.546,2.538,2.532,0.155,-0.027,-0.150,-0.056,-0.115,-0.051,0.030,-0.102,-0.242,0.020,-0.001,-0.001,0.008
45.000,0.045,2.533,2.562,2.553,2.546,2.538,2.531,0.155,-0.027,-0.150,-0.056,-0.028,0.126,0.037,-0.044,0.016,-0.045,0.001,0.004,0.007
46.000,0.046,2.533,2.563,2.553,2.547,2.538,2.531,0.067,-0.115,-0.063,-0.231,-0.115,0.038,0.049,0.035,-0.407,-0.033,0.000,-0.011,0.007
47.000,0.047,2.533,2.562,2.554,2.545,2.540,2.531,0.067,-0.027,-0.324,0.120,-0.463,0.038,0.150,-0.171,-0.586,0.091,-0.006,0.048,0.007
48.000,0.048,2.533,2.563,2.553,2.546,2.538,2.531,0.242,-0.115,-0.063,-0.143,-0.028,0.126,0.083,-0.022,0.019,-0.043,-0.000,-0.017,0.008
49.000,0.049,2.534,2.562,2.554,2.546,2.538,2.532,-0.107,0.148,-0.237,-0.143,-0.028,-0.051,-0.137,-0.004,-0.412,-0.056,0.006,0.021,0.008
50.000,0.050,2.533,2.562,2.553,2.546,2.539,2.531,0.067,0.060,-0.063,-0.056,-0.202,0.038,0.045,-0.024,-0.154,0.033,-0.001,0.014,0.006
