Author,Engineer
TimeStamp,6/12/2019  6:47 PM
Sample Clock Rate,1000.00

sample,Time,V1,V2,V3,V4,V5,V6,F1,F2,F3,F4,F5,F6,Fx,Fy,Fz,Mx,My,Mz,Vtac
0.000,0.000,2.532,2.563,2.554,2.545,2.539,2.533,0.044,-0.040,-0.220,0.272,0.290,-0.107,-0.087,-0.183,0.228,-0.034,0.003,0.001,0.007
1.000,0.001,2.532,2.563,2.553,2.545,2.540,2.532,-0.043,-0.128,-0.046,0.272,0.029,0.070,0.082,-0.063,0.149,0.014,-0.003,0.014,0.007
2.000,0.002,2.532,2.563,2.553,2.546,2.540,2.533,0.044,-0.128,-0.133,0.097,0.029,-0.195,-0.001,-0.143,-0.282,0.034,-0.002,-0.009,0.008
3.000,0.003,2.532,2.563,2.553,2.546,2.540,2.532,0.044,-0.040,-0.133,0.097,0.029,0.070,0.021,-0.063,0.062,-0.025,0.001,0.010,0.007
4.000,0.004,2.531,2.563,2.553,2.547,2.539,2.532,0.132,-0.128,-0.046,-0.254,0.116,-0.019,-0.025,0.020,-0.190,-0.079,0.003,-0.034,0.007
5.000,0.005,2.532,2.563,2.553,2.546,2.540,2.532,0.044,-0.040,-0.046,0.097,0.029,0.070,0.035,-0.037,0.149,-0.010,-0.000,0.005,0.007
6.000,0.006,2.532,2.564,2.552,2.546,2.540,2.532,0.044,-0.215,0.128,0.097,0.029,0.158,0.146,0.040,0.240,-0.007,-0.004,-0.011,0.007
7.000,0.007,2.532,2.562,2.552,2.547,2.540,2.532,-0.130,0.136,0.215,-0.079,-0.058,-0.019,-0.034,0.126,0.068,0.034,-0.000,0.001,0.007
8.000,0.008,2.531,2.563,2.552,2.546,2.541,2.532,0.132,-0.040,0.215,0.009,-0.405,0.070,0.224,0.014,-0.018,0.144,-0.010,0.004,0.007
9.000,0.009,2.532,2.563,2.553,2.546,2.539,2.534,-0.043,-0.040,0.041,0.009,0.116,-0.372,-0.099,-0.082,-0.280,0.059,-0.001,-0.028,0.007
10.000,0.010,2.532,2.562,2.553,2.547,2.540,2.532,-0.043,0.136,-0.046,-0.166,-0.058,0.070,-0.060,0.072,-0.105,-0.042,0.004,0.012,0.008
