Author,Engineer
TimeStamp,6/12/2019  6:14 PM
Sample Clock Rate,1000.00

sample,Time,V1,V2,V3,V4,V5,V6,F1,F2,F3,F4,F5,F6,Fx,Fy,Fz,Mx,My,Mz,Vtac
0.000,0.000,2.534,2.560,2.554,2.548,2.537,2.533,0.163,0.024,-0.213,-0.030,0.290,-0.215,-0.162,-0.159,0.014,-0.055,0.006,-0.024,0.007
1.000,0.001,2.533,2.559,2.554,2.548,2.539,2.532,0.250,0.112,-0.300,0.058,-0.058,0.050,-0.009,-0.181,0.099,-0.008,0.002,0.019,0.007
2.000,0.002,2.534,2.560,2.553,2.549,2.538,2.532,0.163,-0.151,-0.126,-0.205,0.116,-0.039,-0.020,-0.036,-0.234,-0.076,0.003,-0.031,0.007
3.000,0.003,2.534,2.560,2.554,2.548,2.538,2.532,-0.012,-0.064,-0.213,0.058,0.029,0.050,-0.004,-0.061,-0.151,-0.048,0.002,0.014,0.006
4.000,0.004,2.533,2.560,2.553,2.547,2.539,2.531,0.250,-0.151,-0.126,0.145,-0.145,0.138,0.178,-0.137,0.105,0.033,-0.005,0.007,0.006
5.000,0.005,2.534,2.559,2.553,2.548,2.538,2.532,-0.099,0.112,-0.126,0.058,0.029,-0.127,-0.104,-0.057,-0.153,0.006,0.003,0.015,0.007
6.000,0.006,2.534,2.560,2.553,2.548,2.539,2.532,0.163,0.024,-0.126,0.058,-0.232,0.050,0.095,-0.109,-0.067,0.058,-0.003,0.018,0.008
7.000,0.007,2.534,2.560,2.553,2.548,2.539,2.532,0.163,-0.064,-0.126,-0.118,-0.058,0.050,0.039,-0.045,-0.150,-0.029,0.000,-0.006,0.007
8.000,0.008,2.534,2.560,2.554,2.548,2.539,2.532,0.076,0.024,-0.213,0.058,-0.058,0.050,0.008,-0.095,-0.068,-0.013,0.001,0.019,0.006
9.000,0.009,2.534,2.560,2.553,2.548,2.539,2.531,0.163,-0.064,-0.039,0.058,-0.145,0.138,0.131,-0.053,0.107,0.025,-0.004,0.008,0.007
10.000,0.010,2.534,2.559,2.553,2.548,2.538,2.532,-0.099,0.112,0.048,0.058,0.029,0.050,-0.039,0.048,0.193,-0.005,0.001,0.014,0.008
11.000,0.011,2.534,2.560,2.553,2.547,2.539,2.532,0.163,0.024,-0.039,0.145,-0.058,0.050,0.067,-0.102,0.274,0.043,-0.003,0.008,0.008
12.000,0.012,2.534,2.560,2.553,2.548,2.539,2.532,0.076,0.024,0.048,-0.030,-0.058,-0.039,0.019,-0.017,0.021,0.035,-0.002,-0.006,0.007
13.000,0.013,2.534,2.559,2.553,2.548,2.538,2.531,-0.012,0.112,-0.039,0.058,0.029,0.138,-0.021,0.018,0.277,-0.032,0.002,0.019,0.007
14.000,0.014,2.533,2.560,2.552,2.549,2.538,2.531,0.250,-0.064,0.222,-0.205,0.029,0.138,0.086,0.087,0.369,-0.022,-0.001,-0.037,0.008
15.000,0.015,2.534,2.559,2.552,2.548,2.538,2.532,0.076,0.200,0.135,0.058,0.029,-0.039,-0.044,-0.013,0.447,0.051,-0.000,-0.001,0.008
16.000,0.016,2.534,2.560,2.552,2.547,2.539,2.531,-0.012,0.024,0.135,0.145,-0.058,0.226,0.102,0.064,0.452,0.015,-0.003,0.017,0.008
17.000,0.017,2.534,2.559,2.552,2.548,2.538,2.531,-0.012,0.112,0.309,-0.030,0.116,0.226,0.011,0.180,0.711,-0.034,0.001,-0.007,0.007
18.000,0.018,2.534,2.559,2.552,2.548,2.539,2.531,-0.012,0.200,0.135,-0.030,-0.232,0.138,0.048,0.084,0.195,0.054,-0.002,0.023,0.007
19.000,0.019,2.534,2.560,2.552,2.548,2.538,2.531,-0.012,0.024,0.135,-0.118,0.029,0.315,0.046,0.177,0.370,-0.083,0.002,0.003,0.007
20.000,0.020,2.534,2.559,2.552,2.548,2.538,2.532,-0.099,0.288,0.135,0.058,0.029,0.050,-0.088,0.075,0.448,0.017,0.002,0.019,0.007
21.000,0.021,2.534,2.559,2.552,2.548,2.539,2.531,-0.012,0.112,0.135,-0.030,-0.145,0.138,0.051,0.088,0.196,0.027,-0.002,0.013,0.007
22.000,0.022,2.534,2.559,2.552,2.549,2.538,2.532,0.076,0.112,0.222,-0.205,0.116,-0.039,-0.072,0.100,0.281,-0.014,0.002,-0.030,0.006
23.000,0.023,2.534,2.559,2.552,2.548,2.539,2.532,-0.099,0.288,0.222,-0.030,-0.232,0.050,-0.002,0.114,0.195,0.085,-0.002,0.024,0.007
24.000,0.024,2.534,2.559,2.552,2.548,2.539,2.532,-0.099,0.112,0.222,0.058,-0.058,0.050,0.019,0.095,0.281,0.049,-0.002,0.008,0.007
25.000,0.025,2.535,2.559,2.553,2.549,2.538,2.532,-0.361,0.200,0.048,-0.205,0.116,-0.039,-0.208,0.200,-0.230,-0.083,0.008,0.011,0.007
26.000,0.026,2.534,2.559,2.552,2.548,2.538,2.532,-0.012,0.200,0.222,0.058,0.029,0.050,-0.027,0.070,0.535,0.037,-0.000,0.004,0.006
27.000,0.027,2.534,2.560,2.551,2.548,2.538,2.533,-0.012,0.024,0.397,-0.030,0.116,-0.303,-0.050,0.046,0.195,0.102,-0.004,-0.046,0.007
28.000,0.028,2.535,2.559,2.552,2.547,2.539,2.532,-0.186,0.112,0.135,0.145,-0.058,0.050,0.004,0.071,0.194,0.043,-0.002,0.023,0.007
29.000,0.029,2.534,2.560,2.552,2.549,2.538,2.531,-0.099,-0.064,0.222,-0.293,0.116,0.138,-0.018,0.240,0.032,-0.097,0.003,-0.026,0.008
30.000,0.030,2.534,2.559,2.552,2.549,2.538,2.532,-0.099,0.200,0.222,-0.205,0.029,-0.127,-0.123,0.129,0.025,0.016,0.002,-0.015,0.007
31.000,0.031,2.534,2.560,2.552,2.548,2.538,2.532,-0.099,-0.064,0.222,-0.118,0.029,-0.039,0.005,0.127,-0.058,0.004,-0.001,-0.021,0.007
32.000,0.032,2.534,2.559,2.552,2.548,2.538,2.533,-0.099,0.112,0.222,-0.030,0.116,-0.215,-0.108,0.052,0.108,0.046,0.000,-0.020,0.007
33.000,0.033,2.535,2.559,2.552,2.548,2.539,2.532,-0.186,0.200,0.222,-0.030,-0.058,0.050,-0.043,0.153,0.196,0.026,0.000,0.014,0.008
34.000,0.034,2.535,2.560,2.551,2.550,2.539,2.532,-0.186,-0.064,0.397,-0.468,-0.058,0.050,0.006,0.341,-0.305,-0.043,0.000,-0.036,0.008
35.000,0.035,2.534,2.559,2.552,2.548,2.539,2.532,-0.012,0.112,0.222,-0.030,-0.058,0.050,0.019,0.092,0.281,0.039,-0.002,-0.002,0.007
36.000,0.036,2.534,2.560,2.552,2.548,2.538,2.532,-0.099,-0.151,0.309,-0.118,0.029,-0.039,0.052,0.152,-0.056,0.016,-0.003,-0.032,0.006
37.000,0.037,2.535,2.560,2.552,2.549,2.538,2.532,-0.186,0.024,0.309,-0.205,0.029,0.050,-0.024,0.237,0.031,-0.025,0.001,-0.016,0.007
38.000,0.038,2.534,2.560,2.552,2.548,2.540,2.531,-0.099,0.024,0.222,-0.118,-0.319,0.226,0.143,0.188,-0.055,0.039,-0.004,0.018,0.008
39.000,0.039,2.534,2.560,2.552,2.549,2.539,2.532,-0.012,0.024,0.309,-0.205,-0.058,0.050,0.035,0.172,0.114,0.016,-0.002,-0.021,0.008
40.000,0.040,2.534,2.559,2.553,2.548,2.539,2.531,-0.099,0.200,0.048,0.058,-0.058,0.138,-0.024,0.070,0.279,0.001,0.001,0.029,0.007
41.000,0.041,2.534,2.560,2.552,2.548,2.539,2.531,0.076,-0.064,0.135,-0.030,-0.058,0.138,0.101,0.061,0.197,0.006,-0.003,-0.007,0.006
42.000,0.042,2.534,2.560,2.553,2.549,2.538,2.532,-0.012,0.024,0.048,-0.205,0.029,-0.127,-0.073,0.046,-0.233,-0.012,0.002,-0.020,0.008
43.000,0.043,2.534,2.560,2.553,2.548,2.538,2.532,-0.012,0.024,0.048,-0.030,0.029,-0.039,-0.025,0.018,0.022,0.003,0.000,-0.006,0.008
44.000,0.044,2.534,2.559,2.553,2.549,2.538,2.531,-0.012,0.112,0.048,-0.205,0.029,0.138,-0.052,0.127,0.111,-0.071,0.004,-0.000,0.007
45.000,0.045,2.534,2.560,2.553,2.548,2.540,2.532,0.076,0.024,0.048,0.058,-0.405,0.050,0.167,-0.037,-0.149,0.127,-0.008,0.023,0.007
